date,株番号,field_name,height_cm,growth_delta,PF 測定 気温,湿度,CO2濃度,照度,日射量,飽差,露点,積算日射量,growth_tomorrow,weekday,weeknum
2024-08-02,1,９号棟,10.0,,32.889272676214546,65.7543948329121,440.1283347374333,20.445380511092388,738566,14.390564448188712,24.834456613310866,21.04044,8.0,4,31
2024-08-02,2,９号棟,10.0,,32.889272676214546,65.7543948329121,440.1283347374333,20.445380511092388,738566,14.390564448188712,24.834456613310866,21.04044,8.0,4,31
2024-08-02,3,９号棟,10.0,,32.889272676214546,65.7543948329121,440.1283347374333,20.445380511092388,738566,14.390564448188712,24.834456613310866,21.04044,10.0,4,31
2024-08-09,1,９号棟,18.0,8.0,28.606169527897,77.20067954220315,435.7344420600858,13.723354792560801,781208,7.718776824034335,23.81629113018598,20.3529,9.0,4,32
2024-08-09,2,９号棟,18.0,8.0,28.606169527897,77.20067954220315,435.7344420600858,13.723354792560801,781208,7.718776824034335,23.81629113018598,20.3529,10.0,4,32
2024-08-09,3,９号棟,20.0,10.0,28.606169527897,77.20067954220315,435.7344420600858,13.723354792560801,781208,7.718776824034335,23.81629113018598,20.3529,8.0,4,32
2024-08-16,1,９号棟,27.0,9.0,26.610364583333336,90.26873263888889,428.9828125,1.8520833333333333,121040,2.47171875,24.87420138888889,2.0457,8.0,4,33
2024-08-16,2,９号棟,28.0,10.0,26.610364583333336,90.26873263888889,428.9828125,1.8520833333333333,121040,2.47171875,24.87420138888889,2.0457,7.0,4,33
2024-08-16,3,９号棟,28.0,8.0,26.610364583333336,90.26873263888889,428.9828125,1.8520833333333333,121040,2.47171875,24.87420138888889,2.0457,8.0,4,33
2024-08-23,1,９号棟,35.0,8.0,30.868246527777778,73.33328125,458.36371527777777,12.70920138888889,746552,10.274756944444444,25.003368055555555,19.54242,11.0,4,34
2024-08-23,2,９号棟,35.0,7.0,30.868246527777778,73.33328125,458.36371527777777,12.70920138888889,746552,10.274756944444444,25.003368055555555,19.54242,11.0,4,34
2024-08-23,3,９号棟,36.0,8.0,30.868246527777778,73.33328125,458.36371527777777,12.70920138888889,746552,10.274756944444444,25.003368055555555,19.54242,9.0,4,34
2024-08-30,1,９号棟,46.0,11.0,30.147743055555555,72.154375,422.63628472222223,11.441493055555556,672588,8.897013888888889,24.469288194444445,16.7976,-37.0,4,35
2024-08-30,2,９号棟,46.0,11.0,30.147743055555555,72.154375,422.63628472222223,11.441493055555556,672588,8.897013888888889,24.469288194444445,16.7976,-37.0,4,35
2024-08-30,3,９号棟,45.0,9.0,30.147743055555555,72.154375,422.63628472222223,11.441493055555556,672588,8.897013888888889,24.469288194444445,16.7976,-35.0,4,35
2024-09-06,1,９号棟,63.0,48.0,28.226579861111112,71.94664930555555,450.64913194444443,13.678993055555555,801490,9.89873263888889,21.728350694444444,21.1641,-55.0,4,36
2024-09-06,2,９号棟,60.0,46.0,28.226579861111112,71.94664930555555,450.64913194444443,13.678993055555555,801490,9.89873263888889,21.728350694444444,21.1641,-52.0,4,36
2024-09-06,3,９号棟,59.0,44.0,28.226579861111112,71.94664930555555,450.64913194444443,13.678993055555555,801490,9.89873263888889,21.728350694444444,21.1641,-51.0,4,36
2024-09-17,1,９号棟,9.0,-51.0,29.920173611111114,77.69602430555555,459.87864583333334,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,5.0,1,38
2024-09-17,2,９号棟,10.0,-54.0,29.920173611111114,77.69602430555555,459.87864583333334,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,5.0,1,38
2024-09-17,3,９号棟,9.0,-51.0,29.920173611111114,77.69602430555555,459.87864583333334,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,6.0,1,38
2024-09-24,1,９号棟,14.0,5.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777778,14.34372,-5.0,1,39
2024-09-24,2,９号棟,15.0,5.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777778,14.34372,-5.0,1,39
2024-09-24,3,９号棟,15.0,6.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777778,14.34372,-6.0,1,39
2024-10-01,1,９号棟,20.0,-21.0,24.933368055555558,79.24951388888888,441.13142361111113,13.06076388888889,765209,5.907621527777778,20.68157986111111,16.95912,14.0,1,40
2024-10-01,2,９号棟,20.0,-27.0,24.933368055555558,79.24951388888888,441.13142361111113,13.06076388888889,765209,5.907621527777778,20.68157986111111,16.95912,15.0,1,40
2024-10-01,3,９号棟,21.0,-27.0,24.933368055555558,79.24951388888888,441.13142361111113,13.06076388888889,765209,5.907621527777778,20.68157986111111,16.95912,14.0,1,40
2024-10-08,1,９号棟,30.0,-23.0,19.803177083333335,88.69892361111111,425.91770833333334,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,-15.0,1,41
2024-10-08,2,９号棟,32.0,-28.0,19.803177083333335,88.69892361111111,425.91770833333334,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,-18.0,1,41
2024-10-08,3,９号棟,31.0,-29.0,19.803177083333335,88.69892361111111,425.91770833333334,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,-18.0,1,41
2024-10-08,1,９号棟,30.0,-15.0,19.803177083333335,88.69892361111111,425.91770833333334,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,-10.0,1,41
2024-10-08,2,９号棟,32.0,-18.0,19.803177083333335,88.69892361111111,425.91770833333334,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,-11.0,1,41
2024-10-08,3,９号棟,31.0,-17.0,19.803177083333335,88.69892361111111,425.91770833333334,2.7078125,167650,2.029045138888889,17.828072916666667,2.96796,-11.0,1,41
2024-10-15,1,９号棟,39.0,-16.0,23.42546875,71.8463888888889,431.8720486111111,9.761111111111111,574386,6.270538194444445,17.89611111111111,11.36724,-16.0,1,42
2024-10-15,2,９号棟,40.0,-18.0,23.42546875,71.8463888888889,431.8720486111111,9.761111111111111,574386,6.270538194444445,17.89611111111111,11.36724,-12.0,1,42
2024-10-15,3,９号棟,40.0,-17.0,23.42546875,71.8463888888889,431.8720486111111,9.761111111111111,574386,6.270538194444445,17.89611111111111,11.36724,-13.0,1,42
2024-10-22,1,９号棟,51.0,37.0,21.86015625,64.14534722222223,418.0484375,5.052777777777778,303132,6.972760416666667,14.666388888888887,5.63934,-23.0,1,43
2024-10-22,2,９号棟,50.0,36.0,21.86015625,64.14534722222223,418.0484375,5.052777777777778,303132,6.972760416666667,14.666388888888887,5.63934,-13.0,1,43
2024-10-22,3,９号棟,45.0,30.0,21.86015625,64.14534722222223,418.0484375,5.052777777777778,303132,6.972760416666667,14.666388888888887,5.63934,-8.0,1,43
2024-10-30,1,９号棟,10.0,-32.0,17.872542549496355,78.49159430357763,428.4477249044807,6.048801667245572,359535,3.493747829107329,13.82447030218826,6.6306,52.0,2,44
2024-10-30,2,９号棟,9.0,-36.0,17.872542549496355,78.49159430357763,428.4477249044807,6.048801667245572,359535,3.493747829107329,13.82447030218826,6.6306,53.0,2,44
2024-10-30,3,９号棟,10.0,-35.0,17.872542549496355,78.49159430357763,428.4477249044807,6.048801667245572,359535,3.493747829107329,13.82447030218826,6.6306,50.0,2,44
2024-10-29,1,９号棟,62.0,52.0,17.415746527777777,85.67868055555556,431.2418402777778,3.7109375,225060,2.2536805555555555,14.890260416666665,4.01406,-30.0,1,44
2024-10-29,2,９号棟,62.0,53.0,17.415746527777777,85.67868055555556,431.2418402777778,3.7109375,225060,2.2536805555555555,14.890260416666665,4.01406,-32.0,1,44
2024-10-29,3,９号棟,60.0,50.0,17.415746527777777,85.67868055555556,431.2418402777778,3.7109375,225060,2.2536805555555555,14.890260416666665,4.01406,-27.0,1,44
2024-11-06,1,９号棟,14.0,-18.0,16.003211805555555,78.559375,426.96788194444446,8.855555555555556,521209,3.3229166666666665,11.968802083333333,10.87476,37.0,2,45
2024-11-06,2,９号棟,13.0,-17.0,16.003211805555555,78.559375,426.96788194444446,8.855555555555556,521209,3.3229166666666665,11.968802083333333,10.87476,47.0,2,45
2024-11-06,3,９号棟,15.0,-18.0,16.003211805555555,78.559375,426.96788194444446,8.855555555555556,521209,3.3229166666666665,11.968802083333333,10.87476,44.0,2,45
2024-11-13,1,９号棟,16.0,-14.0,16.193281250000002,75.02532986111112,427.9592013888889,6.5413194444444445,387746,3.74453125,11.48560763888889,7.61838,-6.0,2,46
2024-11-13,2,９号棟,16.0,-13.0,16.193281250000002,75.02532986111112,427.9592013888889,6.5413194444444445,387746,3.74453125,11.48560763888889,7.61838,-6.0,2,46
2024-11-13,3,９号棟,19.0,-11.0,16.193281250000002,75.02532986111112,427.9592013888889,6.5413194444444445,387746,3.74453125,11.48560763888889,7.61838,-9.0,2,46
2024-11-20,1,９号棟,19.0,-20.0,12.078506944444444,77.93005208333332,438.7315972222222,8.250520833333333,486232,2.8784375,8.006684027777778,10.3224,-8.0,2,47
2024-11-20,2,９号棟,22.0,-14.0,12.078506944444444,77.93005208333332,438.7315972222222,8.250520833333333,486232,2.8784375,8.006684027777778,10.3224,-11.0,2,47
2024-11-20,3,９号棟,23.0,-11.0,12.078506944444444,77.93005208333332,438.7315972222222,8.250520833333333,486232,2.8784375,8.006684027777778,10.3224,-13.0,2,47
2024-11-27,1,９号棟,24.0,-20.0,12.930381944444445,82.46546875,443.98784722222223,5.130729166666667,306713,2.1462499999999998,9.783211805555556,5.5959,-11.0,2,48
2024-11-27,2,９号棟,28.0,-14.0,12.930381944444445,82.46546875,443.98784722222223,5.130729166666667,306713,2.1462499999999998,9.783211805555556,5.5959,-15.0,2,48
2024-11-27,3,９号棟,27.0,-15.0,12.930381944444445,82.46546875,443.98784722222223,5.130729166666667,306713,2.1462499999999998,9.783211805555556,5.5959,-15.0,2,48
2024-12-04,1,９号棟,27.0,-21.0,11.232881944444445,82.42807291666666,449.26354166666664,3.3645833333333335,203475,1.9396354166666665,8.171788194444444,4.01184,-12.0,2,49
2024-12-04,2,９号棟,30.0,-17.0,11.232881944444445,82.42807291666666,449.26354166666664,3.3645833333333335,203475,1.9396354166666665,8.171788194444444,4.01184,-16.0,2,49
2024-12-04,3,９号棟,32.0,-18.0,11.232881944444445,82.42807291666666,449.26354166666664,3.3645833333333335,203475,1.9396354166666665,8.171788194444444,4.01184,-19.0,2,49
