date,株番号,field_name,height_cm,growth_delta,PF 測定 気温,湿度,CO2濃度,照度,日射量,飽差,露点,積算日射量,growth_tomorrow,weekday,weeknum
2024-09-09,1,６号棟,8.0,-55.0,28.37140625,79.47387152777777,455.165625,12.527083333333334,735053,6.976354166666667,24.03314236111111,19.90644,14.0,0,37
2024-09-09,2,６号棟,8.0,-52.0,28.37140625,79.47387152777777,455.165625,12.527083333333334,735053,6.976354166666667,24.03314236111111,19.90644,13.0,0,37
2024-09-09,3,６号棟,8.0,-51.0,28.37140625,79.47387152777777,455.165625,12.527083333333334,735053,6.976354166666667,24.03314236111111,19.90644,16.0,0,37
2024-09-16,1,６号棟,18.0,-28.0,29.792829861111112,80.79567708333333,459.8046875,11.588888888888889,680951,6.949322916666667,25.760069444444444,18.54246,13.0,0,38
2024-09-16,2,６号棟,18.0,-29.0,29.792829861111112,80.79567708333333,459.8046875,11.588888888888889,680951,6.949322916666667,25.760069444444444,18.54246,16.0,0,38
2024-09-16,3,６号棟,18.0,-28.0,29.792829861111112,80.79567708333333,459.8046875,11.588888888888889,680951,6.949322916666667,25.760069444444444,18.54246,17.0,0,38
2024-09-23,1,６号棟,26.0,17.0,24.088784722222222,69.17826388888889,419.5234375,9.574826388888889,564618,7.017395833333333,17.940086805555556,12.17982,15.0,0,39
2024-09-23,2,６号棟,26.0,16.0,24.088784722222222,69.17826388888889,419.5234375,9.574826388888889,564618,7.017395833333333,17.940086805555556,12.17982,21.0,0,39
2024-09-23,3,６号棟,26.0,17.0,24.088784722222222,69.17826388888889,419.5234375,9.574826388888889,564618,7.017395833333333,17.940086805555556,12.17982,22.0,0,39
2024-09-30,1,６号棟,34.0,14.0,24.619166666666665,81.50875,447.08229166666666,10.358680555555555,609374,4.926944444444445,20.95753472222222,11.50596,19.0,0,40
2024-09-30,2,６号棟,35.0,15.0,24.619166666666665,81.50875,447.08229166666666,10.358680555555555,609374,4.926944444444445,20.95753472222222,11.50596,25.0,0,40
2024-09-30,3,６号棟,35.0,14.0,24.619166666666665,81.50875,447.08229166666666,10.358680555555555,609374,4.926944444444445,20.95753472222222,11.50596,25.0,0,40
2024-10-07,1,６号棟,45.0,36.0,21.861458333333335,92.69723958333333,442.62864583333334,2.5546875,159337,1.48046875,20.607552083333335,2.82108,-15.0,0,41
2024-10-07,2,６号棟,50.0,41.0,21.861458333333335,92.69723958333333,442.62864583333334,2.5546875,159337,1.48046875,20.607552083333335,2.82108,-18.0,0,41
2024-10-07,3,６号棟,48.0,39.0,21.861458333333335,92.69723958333333,442.62864583333334,2.5546875,159337,1.48046875,20.607552083333335,2.82108,-17.0,0,41
2024-10-14,1,６号棟,55.0,45.0,22.13715277777778,68.72623263888889,435.2967013888889,11.523784722222222,676723,7.554930555555556,15.28685763888889,15.7413,-16.0,0,42
2024-10-14,2,６号棟,58.0,48.0,22.13715277777778,68.72623263888889,435.2967013888889,11.523784722222222,676723,7.554930555555556,15.28685763888889,15.7413,-18.0,0,42
2024-10-14,3,６号棟,57.0,47.0,22.13715277777778,68.72623263888889,435.2967013888889,11.523784722222222,676723,7.554930555555556,15.28685763888889,15.7413,-17.0,0,42
2024-10-18,1,６号棟,9.0,-14.0,23.661996527777777,78.66953125,442.2609375,7.089756944444445,420363,5.210833333333333,19.4953125,7.90134,9.0,4,42
2024-10-18,2,６号棟,9.0,-19.0,23.661996527777777,78.66953125,442.2609375,7.089756944444445,420363,5.210833333333333,19.4953125,7.90134,9.0,4,42
2024-10-18,3,６号棟,10.0,-17.0,23.661996527777777,78.66953125,442.2609375,7.089756944444445,420363,5.210833333333333,19.4953125,7.90134,10.0,4,42
2024-10-25,1,６号棟,14.0,-4.0,19.189479166666665,79.93956597222223,437.5005208333333,8.455208333333333,498840,3.7959895833333337,15.398784722222222,10.2339,37.0,4,43
2024-10-25,2,６号棟,14.0,-4.0,19.189479166666665,79.93956597222223,437.5005208333333,8.455208333333333,498840,3.7959895833333337,15.398784722222222,10.2339,36.0,4,43
2024-10-25,3,６号棟,15.0,-5.0,19.189479166666665,79.93956597222223,437.5005208333333,8.455208333333333,498840,3.7959895833333337,15.398784722222222,10.2339,30.0,4,43
2024-11-01,1,６号棟,19.0,-9.0,18.834409722222222,87.48524305555556,444.5414930555556,4.146354166666667,250559,2.3502083333333337,16.553194444444443,4.43976,23.0,4,44
2024-11-01,2,６号棟,19.0,-10.0,18.834409722222222,87.48524305555556,444.5414930555556,4.146354166666667,250559,2.3502083333333337,16.553194444444443,4.43976,26.0,4,44
2024-11-01,3,６号棟,20.0,-10.0,18.834409722222222,87.48524305555556,444.5414930555556,4.146354166666667,250559,2.3502083333333337,16.553194444444443,4.43976,25.0,4,44
2024-11-08,1,６号棟,24.0,-27.0,13.06328125,69.99800347222222,433.30815972222223,9.789756944444445,575376,3.9273784722222222,7.277204861111111,12.34614,15.0,4,45
2024-11-08,2,６号棟,25.0,-35.0,13.06328125,69.99800347222222,433.30815972222223,9.789756944444445,575376,3.9273784722222222,7.277204861111111,12.34614,15.0,4,45
2024-11-08,3,６号棟,24.0,-35.0,13.06328125,69.99800347222222,433.30815972222223,9.789756944444445,575376,3.9273784722222222,7.277204861111111,12.34614,18.0,4,45
2024-11-15,1,６号棟,30.0,-9.0,16.93548611111111,87.39331597222223,444.6225694444444,3.1991319444444444,195188,1.9901388888888891,14.75454861111111,3.44172,-14.0,4,46
2024-11-15,2,６号棟,29.0,-11.0,16.93548611111111,87.39331597222223,444.6225694444444,3.1991319444444444,195188,1.9901388888888891,14.75454861111111,3.44172,-13.0,4,46
2024-11-15,3,６号棟,30.0,-12.0,16.93548611111111,87.39331597222223,444.6225694444444,3.1991319444444444,195188,1.9901388888888891,14.75454861111111,3.44172,-11.0,4,46
2024-11-22,1,６号棟,39.0,-7.0,11.828836805555557,82.80267361111112,436.0263888888889,4.231944444444444,254989,2.043263888888889,8.847170138888888,4.87086,-20.0,4,47
