date,plant_id,field_name,height_cm,growth_delta,temp_pf,humidity,co2,illuminance,solar_radiation,vapor_pressure_deficit,dew_point,solar_radiation_cumsum,growth_tomorrow,weekday,weeknum
2024-11-28,2,12号棟,13.0,-15.0,10.181215277777778,75.02142361111112,435.74357638888887,8.24826388888889,485914,2.801927083333333,5.47265625,9.84558,50.0,3,48
2024-11-28,3,12号棟,12.0,-15.0,10.181215277777778,75.02142361111112,435.74357638888887,8.24826388888889,485914,2.801927083333333,5.47265625,9.84558,49.0,3,48
2024-12-05,1,12号棟,15.0,-12.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,-5.0,3,49
2024-12-05,2,12号棟,14.0,-16.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,-4.0,3,49
2024-12-05,3,12号棟,13.0,-19.0,11.147673611111111,77.01192708333333,440.12065972222223,5.824305555555555,345813,2.660277777777778,6.8941840277777775,6.61548,-3.0,3,49
2024-12-12,1,12号棟,17.0,-12.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,-4.0,3,50
2024-12-12,2,12号棟,17.0,-16.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,-3.0,3,50
2024-12-12,3,12号棟,15.0,-24.0,9.738958333333333,83.87826388888888,428.19965277777777,4.293055555555555,257187,1.660642361111111,6.969236111111112,4.9482,-1.0,3,50
2024-12-19,1,12号棟,21.0,-15.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,-6.0,3,51
2024-12-19,2,12号棟,21.0,-25.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,-4.0,3,51
2024-12-19,3,12号棟,16.0,-29.0,8.258923611111111,87.76421875,427.49322916666665,2.6852430555555555,165154,1.0632465277777778,6.3184201388888885,2.92158,-1.0,3,51
2024-12-26,1,12号棟,23.0,-15.0,11.02690972222222,84.24126736111111,443.6532986111111,4.113194444444445,246663,1.7876041666666669,8.264010416666666,4.91814,-6.0,3,52
2024-12-26,2,12号棟,25.0,-23.0,11.02690972222222,84.24126736111111,443.6532986111111,4.113194444444445,246663,1.7876041666666669,8.264010416666666,4.91814,-7.0,3,52
2024-12-26,3,12号棟,22.0,-26.0,11.02690972222222,84.24126736111111,443.6532986111111,4.113194444444445,246663,1.7876041666666669,8.264010416666666,4.91814,-6.0,3,52
2025-01-02,1,12号棟,26.0,-17.0,10.267743055555554,83.1711111111111,439.19184027777777,4.357118055555556,261351,1.8461979166666669,7.285243055555555,4.98024,-8.0,3,1
2025-01-02,2,12号棟,28.0,-24.0,10.267743055555554,83.1711111111111,439.19184027777777,4.357118055555556,261351,1.8461979166666669,7.285243055555555,4.98024,-9.0,3,1
2025-01-02,3,12号棟,26.0,-30.0,10.267743055555554,83.1711111111111,439.19184027777777,4.357118055555556,261351,1.8461979166666669,7.285243055555555,4.98024,-9.0,3,1
2025-01-09,1,12号棟,34.0,-14.0,7.432708333333333,79.09253472222223,419.48576388888887,4.7809027777777775,285279,1.8681423611111112,3.775121527777778,6.97152,-13.0,3,2
2025-01-09,2,12号棟,37.0,-25.0,7.432708333333333,79.09253472222223,419.48576388888887,4.7809027777777775,285279,1.8681423611111112,3.775121527777778,6.97152,-15.0,3,2
2025-01-09,3,12号棟,29.0,-31.0,7.432708333333333,79.09253472222223,419.48576388888887,4.7809027777777775,285279,1.8681423611111112,3.775121527777778,6.97152,-11.0,3,2
