date,株番号,field_name,height_cm,growth_delta,PF 測定 気温,湿度,CO2濃度,照度,日射量,飽差,露点,積算日射量,growth_tomorrow,weekday,weeknum
2024-08-27,1,３号棟,8.0,-27.0,30.252847222222222,72.23793402777778,429.2470486111111,12.786458333333334,750350,9.228854166666666,24.472187499999997,18.14778,7.0,1,35
2024-08-27,2,３号棟,8.0,-26.0,30.252847222222222,72.23793402777778,429.2470486111111,12.786458333333334,750350,9.228854166666666,24.472187499999997,18.14778,6.0,1,35
2024-08-27,3,３号棟,8.0,-28.0,30.252847222222222,72.23793402777778,429.2470486111111,12.786458333333334,750350,9.228854166666666,24.472187499999997,18.14778,7.0,1,35
2024-09-03,1,３号棟,15.0,7.0,26.659913194444446,83.63532986111112,450.17569444444445,9.626215277777778,567353,4.795503472222222,23.400590277777777,11.98596,48.0,1,36
2024-09-03,2,３号棟,14.0,6.0,26.659913194444446,83.63532986111112,450.17569444444445,9.626215277777778,567353,4.795503472222222,23.400590277777777,11.98596,46.0,1,36
2024-09-03,3,３号棟,15.0,7.0,26.659913194444446,83.63532986111112,450.17569444444445,9.626215277777778,567353,4.795503472222222,23.400590277777777,11.98596,44.0,1,36
2024-09-10,1,３号棟,22.0,14.0,29.304548611111112,75.30166666666666,449.3376736111111,12.8,750786,8.544583333333334,24.040399305555557,20.74776,24.0,1,37
2024-09-10,2,３号棟,21.0,13.0,29.304548611111112,75.30166666666666,449.3376736111111,12.8,750786,8.544583333333334,24.040399305555557,20.74776,26.0,1,37
2024-09-10,3,３号棟,24.0,16.0,29.304548611111112,75.30166666666666,449.3376736111111,12.8,750786,8.544583333333334,24.040399305555557,20.74776,22.0,1,37
2024-09-17,1,３号棟,31.0,13.0,29.920173611111114,77.69602430555555,459.87864583333334,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,29.0,1,38
2024-09-17,2,３号棟,34.0,16.0,29.920173611111114,77.69602430555555,459.87864583333334,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,30.0,1,38
2024-09-17,3,３号棟,35.0,17.0,29.920173611111114,77.69602430555555,459.87864583333334,11.828993055555555,694417,8.33967013888889,25.07923611111111,18.22734,25.0,1,38
2024-09-24,1,３号棟,41.0,15.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777778,14.34372,-21.0,1,39
2024-09-24,2,３号棟,47.0,21.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777778,14.34372,-27.0,1,39
2024-09-24,3,３号棟,48.0,22.0,24.141232638888887,78.02439236111111,441.63715277777777,10.033506944444444,590331,5.772708333333334,19.712152777777778,14.34372,-27.0,1,39
2024-10-01,1,３号棟,53.0,19.0,24.933368055555558,79.24951388888888,441.13142361111113,13.06076388888889,765209,5.907621527777778,20.68157986111111,16.95912,-23.0,1,40
